,,,,,,,
Year,NMFS Name,Pounds,Metric Tons,Dollars,Deflated Dollars,Confidentiality,Collection
2007,STURGEONS **,,,,,Confidential,Commercial
2007,SUCKERS **,"68,352",31,"18,293","25,910",Public,Commercial
2007,"SUNFISH, OCEAN",,,,,Confidential,Commercial
2007,"SUNFISH, OCEAN",77,0,,,Public,Recreational
2007,"SUNFISH, REDEAR","8,968",4,,,Public,Recreational
2007,SUNFISHES **,,,,,Confidential,Commercial
2007,SUNFISHES **,"2,230",1,,,Public,Commercial
2007,SUNSHINEFISH,"1,829",1,"2,489","3,525",Public,Commercial
2007,"SURFPERCH, BARRED","141,263",64,,,Public,Recreational
2007,"SURFPERCH, CALICO","10,999",5,,,Public,Recreational
2007,"SURFPERCH, REDTAIL","38,736",18,,,Public,Recreational
2007,"SURFPERCH, SILVER",838,0,,,Public,Recreational
2007,"SURFPERCH, SPOTFIN",18,0,,,Public,Recreational
2007,"SURFPERCH, WALLEYE","22,706",10,,,Public,Recreational
2007,SURFPERCHES,"5,896",3,,,Public,Recreational
2007,SURFPERCHES **,"18,726",8,"29,900","42,351",Public,Commercial
2007,"SURGEON, OCEAN",599,0,"2,614","3,702",Public,Commercial
2007,"SURGEONFISH, BLACK",,,,,Public,Recreational
2007,"SURGEONFISH, EYESTRIPED",,,,,Public,Recreational
2007,"SURGEONFISH, GOLDRING",,,,,Public,Recreational
2007,"SURGEONFISH, RINGTAI",,,,,Public,Recreational
2007,"SURGEONFISH, WHITE BAR",,,,,Public,Recreational
2007,SURGEONFISHES **,,,,,Confidential,Commercial
2007,SURGEONFISHES **,46,0,66,94,Public,Commercial
2007,"SWEEPER, GLASSY",,,,,Confidential,Commercial
2007,SWORDFISH,,,,,Confidential,Commercial
2007,SWORDFISH,"4,491,230","2,037","12,389,246","17,548,507",Public,Commercial
2007,SWORDFISH,"49,582",22,,,Public,Recreational
2007,"TANG, ACHILLES",,,,,Public,Recreational
2007,"TANG, BLUE","2,629",1,"11,568","16,386",Public,Commercial
2007,"TANG, CONVICT","7,677",3,,,Public,Recreational
2007,"TANG, YELLOW",,,,,Public,Recreational
2007,TARPON,"6,964",3,,,Public,Recreational
2007,TAUTOG,"340,868",155,"742,338","1,051,471",Public,Commercial
2007,TAUTOG,"9,189,663","4,168",,,Public,Recreational
2007,"TENPOUNDER, HAWAIIAN",,,,,Public,Recreational
2007,THORNBACK,"1,865",1,,,Public,Recreational
2007,"THORNYHEAD, LONGSPINE","1,786,706",810,"946,908","1,341,230",Public,Commercial
2007,"THORNYHEAD, LONGSPINE",,,,,Public,Recreational
2007,"THORNYHEAD, SHORTSPINE","2,225,350","1,009","2,573,216","3,644,782",Public,Commercial
2007,"THREADFIN, LITTLESCALE","22,293",10,,,Public,Recreational
2007,"THREADFIN, SIX-FINGERED","1,550",1,,,Public,Recreational
2007,TILAPIAS **,"96,935",44,"60,943","86,321",Public,Commercial
2007,"TILEFISH, ANCHOR",,,,,Confidential,Commercial
2007,"TILEFISH, BLACKLINE",,,,,Confidential,Commercial
2007,"TILEFISH, BLUELINE",,,,,Confidential,Commercial
2007,"TILEFISH, BLUELINE","222,452",101,"251,603","356,379",Public,Commercial
2007,"TILEFISH, BLUELINE","367,932",167,,,Public,Recreational
2007,"TILEFISH, GOLDEN",,,,,Confidential,Commercial
2007,"TILEFISH, GOLDEN","2,286,797","1,037","5,836,092","8,266,420",Public,Commercial
2007,"TILEFISH, GOLDEN","26,035",12,,,Public,Recreational
2007,"TILEFISH, GOLDFACE",,,,,Confidential,Commercial
2007,"TILEFISH, SAND",,,,,Confidential,Commercial
2007,"TILEFISH, SAND","1,931",1,"1,934","2,739",Public,Commercial
2007,"TILEFISH, SAND",789,0,,,Public,Recreational
2007,TILEFISHES,,,,,Public,Recreational
2007,TILEFISHES **,,,,,Confidential,Commercial
2007,TILEFISHES **,"2,689",1,"2,910","4,122",Public,Commercial
2007,"TOADFISH, GULF",631,0,,,Public,Recreational
2007,"TOADFISH, OYSTER","3,506",2,"16,224","22,981",Public,Commercial
2007,"TOADFISH, OYSTER","168,676",77,,,Public,Recreational
2007,"TOADFISHES, BATRACHOIDIDAE (FAMILY) **",,,,,Confidential,Commercial
2007,"TOADFISHES, BATRACHOIDIDAE (FAMILY) **","5,433",2,"12,398","17,561",Public,Commercial
2007,TOBACCOFISH,,,,,Confidential,Commercial
2007,TOBACCOFISH,86,0,282,399,Public,Commercial
2007,TOMTATE,"158,785",72,,,Public,Recreational
2007,TOPSMELT,"10,560",5,,,Public,Recreational
2007,"TORPEDO, ATLANTIC",,,,,Confidential,Commercial
2007,"TREEFROG, GREEN",,,,,Confidential,Commercial
2007,"TREVALLY, BLUEFIN","254,343",115,,,Public,Recreational
2007,"TREVALLY, GIANT","27,531",12,,,Public,Recreational
2007,"TRIGGERFISH, FINESCALE",924,0,,,Public,Recreational
2007,"TRIGGERFISH, GRAY",,,,,Confidential,Commercial
2007,"TRIGGERFISH, GRAY","33,744",15,"29,175","41,325",Public,Commercial
2007,"TRIGGERFISH, GRAY","1,659,283",753,,,Public,Recreational
2007,"TRIGGERFISH, OCEAN","27,646",13,,,Public,Recreational
2007,"TRIGGERFISH, QUEEN",,,,,Confidential,Commercial
2007,"TRIGGERFISH, QUEEN","1,166",1,,,Public,Recreational
2007,TRIGGERFISHES,,,,,Public,Recreational
2007,TRIGGERFISHES **,,,,,Confidential,Commercial
2007,TRIGGERFISHES **,"407,501",185,"543,520","769,859",Public,Commercial
2007,TRIPLETAIL,,,,,Confidential,Commercial
2007,TRIPLETAIL,"11,098",5,"23,812","33,729",Public,Commercial
2007,TRIPLETAIL,"562,262",255,,,Public,Recreational
2007,"TROUT, BROWN",,,,,Public,Recreational
2007,"TROUT, CUTTHROAT",,,,,Public,Recreational
2007,"TROUT, LAKE","666,652",302,"240,451","340,581",Public,Commercial
2007,"TROUT, RAINBOW",,,,,Confidential,Commercial
2007,"TROUT, RAINBOW","463,923",210,"653,130","925,113",Public,Commercial
2007,"TROUT, RAINBOW",,,,,Public,Recreational
2007,TROUTS,,,,,Public,Recreational
2007,TRUMPETFISH,,,,,Confidential,Commercial
2007,TRUMPETFISH,32,0,280,396,Public,Commercial
2007,TRUMPETFISH,,,,,Public,Recreational
2007,"TRUNKFISH, SPOTTED",,,,,Confidential,Commercial
2007,"TRUNKFISHES, THREE-ANGLED **",,,,,Confidential,Commercial
2007,"TUNA, ALBACORE",,,,,Confidential,Commercial
2007,"TUNA, ALBACORE","25,762,617","11,686","21,807,189","30,888,367",Public,Commercial
2007,"TUNA, ALBACORE","4,280,468","1,942",,,Public,Recreational
2007,"TUNA, BIGEYE",,,,,Confidential,Commercial
2007,"TUNA, BIGEYE","631,711",287,"2,163,402","3,064,309",Public,Commercial
2007,"TUNA, BIGEYE","551,262",250,,,Public,Recreational
2007,"TUNA, BLACK SKIPJACK",,,,,Confidential,Commercial
2007,"TUNA, BLACKFIN",,,,,Confidential,Commercial
2007,"TUNA, BLACKFIN","20,299",9,"21,559","30,538",Public,Commercial
2007,"TUNA, BLACKFIN","1,686,383",765,,,Public,Recreational
2007,"TUNA, BLUEFIN",,,,,Confidential,Commercial
2007,"TUNA, BLUEFIN","538,408",244,"3,485,697","4,937,249",Public,Commercial
2007,"TUNA, BLUEFIN","2,810,623","1,275",,,Public,Recreational
2007,"TUNA, BLUEFIN PACIFIC","98,763",45,"58,106","82,303",Public,Commercial
2007,"TUNA, KAWAKAWA","24,588",11,,,Public,Recreational
2007,"TUNA, LITTLE TUNNY",,,,,Confidential,Commercial
2007,"TUNA, LITTLE TUNNY","717,210",325,"226,954","321,464",Public,Commercial
2007,"TUNA, LITTLE TUNNY","3,732,116","1,693",,,Public,Recreational
2007,"TUNA, SKIPJACK",,,,,Confidential,Commercial
2007,"TUNA, SKIPJACK","11,157",5,"4,361","6,177",Public,Commercial
2007,"TUNA, SKIPJACK","2,244,174","1,018",,,Public,Recreational
2007,"TUNA, YELLOWFIN",,,,,Confidential,Commercial
2007,"TUNA, YELLOWFIN","5,196,794","2,357","14,137,569","20,024,884",Public,Commercial
2007,"TUNA, YELLOWFIN","22,666,167","10,281",,,Public,Recreational
2007,TUNAS,,,,,Public,Recreational
2007,TUNAS **,,,,,Confidential,Commercial
2007,TUNAS **,"2,437",1,"4,568","6,471",Public,Commercial
2007,"TUNICATES, SEA SQUIRTS **","5,230",2,"8,387","11,880",Public,Commercial
2007,"TURBOT, DIAMOND","1,085",0,,,Public,Recreational
2007,"TURBOT, HORNYHEAD",750,0,341,482,Public,Commercial
2007,"TURBOT, HORNYHEAD",4,0,,,Public,Recreational
2007,"TURTLES, NORTH AMERICAN SOFTSHELL **",247,0,874,"1,237",Public,Commercial
2007,"TURTLES, SNAPPING",,,,,Confidential,Commercial
2007,"TURTLES, SNAPPING","94,424",43,"121,738","172,433",Public,Commercial
2007,UHU,,,,,Public,Recreational
2007,ULOTRICHALES **,"11,383",5,"22,940","32,492",Public,Commercial
2007,"UNICORN FISH, WHITEMARGIN",712,0,,,Public,Recreational
2007,"UNICORNFISH, BLUE SPINE",,,,,Public,Recreational
2007,"URCHIN, GREEN SEA, (L. VARIEGATUS)","23,802",11,"65,111","92,226",Public,Commercial
2007,"URCHIN, GREEN SEA, (S. DROEBACHIENSIS)","2,761,646","1,253","4,367,772","6,186,646",Public,Commercial
2007,"URCHIN, PURPLE-SPINED SEA",,,,,Confidential,Commercial
2007,"URCHIN, ROCK BORING","6,850",3,"4,729","6,698",Public,Commercial
2007,"URCHIN, SLATE PENCIL","8,062",4,"6,371","9,024",Public,Commercial
2007,"URCHINS, SEA, ECHINOIDEA (CLASS) **","6,408",3,"34,212","48,459",Public,Commercial
2007,"URCHINS, SEA, STRONGYLOCENTROTUS (GENUS) **",,,,,Confidential,Commercial
2007,"URCHINS, SEA, STRONGYLOCENTROTUS (GENUS) **","12,021,386","5,453","5,927,588","8,396,017",Public,Commercial
2007,"VERTEBRATES, JAWED",,,,,Confidential,Commercial
2007,"VERTEBRATES, JAWED","5,652,552","2,564","1,585,551","2,245,824",Public,Commercial
2007,"VERTEBRATES, JAWED","26,473",12,,,Public,Recreational
2007,WAHOO,,,,,Confidential,Commercial
2007,WAHOO,"173,964",79,"253,842","359,551",Public,Commercial
2007,WAHOO,"5,300,829","2,404",,,Public,Recreational
2007,WALLEYE,"48,252",22,"93,583","132,553",Public,Commercial
2007,WEAKFISH,,,,,Confidential,Commercial
2007,WEAKFISH,"910,517",413,"988,161","1,399,660",Public,Commercial
2007,WEAKFISH,"1,421,544",645,,,Public,Recreational
2007,WENCHMAN,,,,,Confidential,Commercial
2007,"WHELK, CHANNELED",,,,,Confidential,Commercial
2007,"WHELK, CHANNELED","1,133,405",514,"3,424,814","4,851,012",Public,Commercial
2007,"WHELK, KNOBBED",,,,,Confidential,Commercial
2007,"WHELK, KNOBBED","347,586",158,"686,509","972,392",Public,Commercial
2007,"WHELK, LIGHTNING",,,,,Confidential,Commercial
2007,"WHELK, LIGHTNING","11,258",5,"11,873","16,817",Public,Commercial
2007,"WHELK, WAVED",,,,,Confidential,Commercial
2007,WHELKS **,"18,499",8,"23,589","33,411",Public,Commercial
2007,"WHELKS, BUSYCON **","3,420",2,"1,105","1,565",Public,Commercial
2007,"WHITEFISH, LAKE","9,550,007","4,332","8,118,865","11,499,808",Public,Commercial
2007,"WHITEFISH, OCEAN","4,035",2,"14,039","19,885",Public,Commercial
2007,"WHITEFISH, OCEAN","53,905",24,,,Public,Recreational
2007,"WHITEFISH, ROUND","12,570",6,"6,986","9,895",Public,Commercial
2007,WINDOWPANE,,,,,Confidential,Commercial
2007,WINDOWPANE,"440,438",200,"200,801","284,422",Public,Commercial
2007,WINDOWPANE,"106,212",48,,,Public,Recreational
2007,WITHHELD FOR CONFIDENTIALITY,"65,989,471","29,933","54,658,259","77,419,630",Public,Commercial
2007,WOLF-EEL,480,0,521,738,Public,Commercial
2007,WOLF-EEL,803,0,,,Public,Recreational
2007,"WOLFFISH, ATLANTIC",,,,,Confidential,Commercial
2007,"WOLFFISH, ATLANTIC","141,291",64,"99,481","140,908",Public,Commercial
2007,"WOLFFISH, ATLANTIC","28,675",13,,,Public,Recreational
2007,"WRASSE, BIRD",,,,,Public,Recreational
2007,"WRASSE, BLACKEAR",,,,,Confidential,Commercial
2007,"WRASSE, BLACKEAR",,,,,Public,Recreational
2007,"WRASSE, CHRISTMAS",,,,,Public,Recreational
2007,"WRASSE, CLOWN",366,0,717,"1,015",Public,Commercial
2007,"WRASSE, CREOLE",849,0,"3,674","5,204",Public,Commercial
2007,"WRASSE, OTHER",,,,,Public,Recreational
2007,"WRASSE, OTHER **",792,0,"2,638","3,737",Public,Commercial
2007,"WRASSE, RINGTAIL",,,,,Public,Recreational
2007,"WRASSE, ROCK",445,0,,,Public,Recreational
2007,"WRASSE, SADDLE",445,0,,,Public,Recreational
2007,"WRASSE, YELLOWHEAD",454,0,"1,035","1,466",Public,Commercial
2007,WRECKFISH,,,,,Confidential,Commercial
2007,WRECKFISH,,,,,Public,Recreational
2008,ABALONES **,,,,,Confidential,Commercial
2008,ALEWIFE,,,,,Confidential,Commercial
2008,ALEWIFE,"1,423,888",646,"291,834","405,324",Public,Commercial
2008,ALEWIFE,"105,577",48,,,Public,Recreational
2008,"AMBERJACK, GREATER",,,,,Confidential,Commercial
2008,"AMBERJACK, GREATER","1,076,666",488,"1,164,917","1,617,939",Public,Commercial
2008,"AMBERJACK, GREATER","4,847,830","2,199",,,Public,Recreational
2008,"AMBERJACK, LESSER",,,,,Confidential,Commercial
2008,"AMBERJACK, LESSER","25,043",11,"33,327","46,289",Public,Commercial
2008,"AMBERJACK, LESSER","3,801",2,,,Public,Recreational
2008,AMBERJACKS,,,,,Public,Recreational
2008,AMBERJACKS **,,,,,Confidential,Commercial
2008,AMBERJACKS **,"192,997",88,"157,039","218,108",Public,Commercial
2008,ANCHOVIES,152,0,,,Public,Recreational
2008,ANCHOVIES **,,,,,Confidential,Commercial
2008,"ANCHOVIES, HAWAIIAN",,,,,Public,Recreational
2008,"ANCHOVY, BAY",,,,,Confidential,Commercial
2008,"ANCHOVY, NORTHERN",,,,,Confidential,Commercial
2008,"ANCHOVY, NORTHERN","32,305,287","14,654","1,657,489","2,302,068",Public,Commercial
2008,"ANCHOVY, NORTHERN","5,897",3,,,Public,Recreational
2008,"ANEMONE, GIANT CARIBBEAN","59,308",27,"59,162","82,170",Public,Commercial
2008,"ANEMONE, OTHER **","12,980",6,"4,882","6,781",Public,Commercial
2008,"ANEMONE, RINGED",,,,,Confidential,Commercial
2008,"ANEMONE, RINGED","1,678",1,"1,421","1,973",Public,Commercial
2008,"ANEMONE, SPECKLED","10,542",5,"8,316","11,550",Public,Commercial
2008,"ANEMONE, SUN",,,,,Confidential,Commercial
2008,"ANEMONE, SUN",444,0,"1,115","1,549",Public,Commercial
2008,"ANEMONE, SUN ZOANTHID **",,,,,Confidential,Commercial
2008,"ANEMONE, SUN ZOANTHID **","11,911",5,"5,065","7,035",Public,Commercial
2008,"ANGELFISH, BLUE","11,009",5,"144,842","201,169",Public,Commercial
2008,"ANGELFISH, FRENCH","1,453",1,"24,514","34,046",Public,Commercial
2008,"ANGELFISH, GRAY","2,528",1,"24,015","33,354",Public,Commercial
2008,"ANGELFISH, GRAY",,,,,Public,Recreational
2008,"ANGELFISH, QUEEN","3,934",2,"70,681","98,169",Public,Commercial
2008,"ANGELFISH, QUEEN",,,,,Public,Recreational
2008,ANIMALIA **,,,,,Confidential,Commercial
2008,ANIMALIA **,"4,565",2,"21,782","30,253",Public,Commercial
2008,"ANIMALS, HYDRALIKE **",,,,,Confidential,Commercial
2008,BALLOONFISH,896,0,"4,998","6,942",Public,Commercial
2008,BALLYHOO,"3,424",2,"18,877","26,218",Public,Commercial
2008,BALLYHOO,,,,,Public,Recreational
2008,BALLYHOOS **,"760,462",345,"618,858","859,525",Public,Commercial
2008,"BARBIER, RED",,,,,Confidential,Commercial
2008,"BARRACUDA, GREAT",,,,,Confidential,Commercial
2008,"BARRACUDA, GREAT","89,783",41,"75,228","104,482",Public,Commercial
2008,"BARRACUDA, GREAT","1,913,275",868,,,Public,Recreational
2008,"BARRACUDA, PACIFIC","23,196",11,"15,981","22,196",Public,Commercial
2008,"BARRACUDA, PACIFIC","245,782",111,,,Public,Recreational
2008,"BARRACUDAS, SPHYRAENA (GENUS) **",402,0,194,269,Public,Commercial
2008,"BARRACUDAS, SPHYRAENIDAE (FAMILY) **",,,,,Confidential,Commercial
2008,"BARRACUDAS, SPHYRAENIDAE (FAMILY) **","9,001",4,"6,915","9,605",Public,Commercial
2008,BARRELFISH,,,,,Confidential,Commercial
2008,BARRELFISH,"14,522",7,"32,613","45,296",Public,Commercial
2008,BARRELFISH,"15,384",7,,,Public,Recreational
2008,"BASS, BANK SEA",,,,,Confidential,Commercial
2008,"BASS, BANK SEA",188,0,245,341,Public,Commercial
2008,"BASS, BANK SEA",906,0,,,Public,Recreational
2008,"BASS, BLACK SEA",,,,,Confidential,Commercial
2008,"BASS, BLACK SEA","2,308,659","1,047","6,325,078","8,784,829",Public,Commercial
2008,"BASS, BLACK SEA","5,015,939","2,275",,,Public,Recreational
2008,"BASS, CHALK",38,0,105,145,Public,Commercial
2008,"BASS, HARLEQUIN",496,0,"1,299","1,805",Public,Commercial
2008,"BASS, KELP","201,765",92,,,Public,Recreational
2008,"BASS, LANTERN",,,,,Confidential,Commercial
2008,"BASS, LARGEMOUTH","321,131",146,,,Public,Recreational
2008,"BASS, LONGTAIL",,,,,Confidential,Commercial
2008,"BASS, LONGTAIL",66,0,,,Public,Recreational
2008,"BASS, PEPPERMINT",,,,,Confidential,Commercial
2008,"BASS, ROCK","1,427",1,854,"1,186",Public,Commercial
2008,"BASS, ROCK SEA",,,,,Confidential,Commercial
2008,"BASS, ROCK SEA",402,0,109,151,Public,Commercial
2008,"BASS, ROCK SEA","11,687",5,,,Public,Recreational
2008,"BASS, ROUGHTONGUE",,,,,Confidential,Commercial
2008,"BASS, STRIPED",,,,,Confidential,Commercial
2008,"BASS, STRIPED","7,476,538","3,391","15,792,935","21,934,633",Public,Commercial
2008,"BASS, STRIPED","56,898,935","25,809",,,Public,Recreational
2008,"BASS, THREADFIN",4,0,,,Public,Recreational
2008,"BASS, THREADNOSE",,,,,Confidential,Commercial
2008,"BASS, WHITE","527,297",239,"286,974","398,574",Public,Commercial
2008,"BASS, WHITE SEA","673,630",306,"1,507,345","2,093,535",Public,Commercial
2008,"BASS, WHITE SEA","67,691",31,,,Public,Recreational
2008,"BASS, WRASSE",,,,,Confidential,Commercial
2008,"BASSES, MIXED SEA",,,,,Public,Recreational
2008,"BASSES, MIXED SEA **",,,,,Confidential,Commercial
2008,"BASSES, MIXED SEA **","11,543",5,"12,076","16,773",Public,Commercial
2008,"BATFISH, OTHER **",,,,,Confidential,Commercial
2008,"BATFISH, OTHER **","1,279",1,873,"1,212",Public,Commercial
2008,BEAUGREGORY,382,0,639,887,Public,Commercial
2008,"BEAUTY, ROCK","5,451",2,"26,721","37,112",Public,Commercial
2008,BIGEYE,,,,,Confidential,Commercial
2008,BIGEYE,"7,693",3,,,Public,Recreational
2008,"BIGEYE, HAWAIIAN","1,724",1,,,Public,Recreational
2008,"BIGEYE, SHORT",370,0,,,Public,Recreational
2008,BIGEYES,,,,,Public,Recreational
2008,BIGEYES **,"3,645",2,"3,954","5,492",Public,Commercial
2008,BILLFISHES,,,,,Public,Recreational
2008,"BISCUIT, INFLATED SEA",,,,,Confidential,Commercial
2008,"BISCUITS, SEA **",,,,,Confidential,Commercial
2008,"BISCUITS, SEA **",203,0,"1,242","1,724",Public,Commercial
2008,BLACKSMITH,"7,805",4,,,Public,Recreational
2008,"BLENNY, BANDED",350,0,"1,302","1,809",Public,Commercial
2008,"BLENNY, BARRED",,,,,Confidential,Commercial
2008,"BLENNY, FLORIDA",,,,,Confidential,Commercial
2008,"BLENNY, GLASS",108,0,143,199,Public,Commercial
2008,"BLENNY, HAIRY",,,,,Confidential,Commercial
2008,"BLENNY, MARBLED",,,,,Confidential,Commercial
2008,"BLENNY, OTHER **","1,492",1,"1,828","2,539",Public,Commercial
2008,"BLENNY, REDLIP",,,,,Confidential,Commercial
2008,"BLENNY, REDLIP",73,0,160,222,Public,Commercial
2008,"BLENNY, SADDLED",281,0,510,709,Public,Commercial
2008,"BLENNY, SAILFIN","1,505",1,"3,806","5,285",Public,Commercial
2008,"BLENNY, WRASSE",,,,,Confidential,Commercial
2008,BLUEFISH,,,,,Confidential,Commercial
2008,BLUEFISH,"6,153,167","2,791","2,674,401","3,714,444",Public,Commercial
2008,BLUEFISH,"36,892,418","16,734",,,Public,Recreational
2008,BLUEGILL,"7,172",3,,,Public,Recreational
2008,BLUEHEAD,"3,761",2,"6,743","9,366",Public,Commercial
2008,BOARFISHES **,,,,,Confidential,Commercial
2008,BONEFISH,"2,858",1,,,Public,Recreational
2008,"BONEFISH, SMALLMOUTH","97,764",44,,,Public,Recreational
2008,"BONITO, ATLANTIC",,,,,Confidential,Commercial
2008,"BONITO, ATLANTIC","57,563",26,"117,557","163,275",Public,Commercial
2008,"BONITO, ATLANTIC","103,800",47,,,Public,Recreational
2008,"BONITO, PACIFIC","1,771,195",803,"643,423","893,643",Public,Commercial
2008,"BONITO, PACIFIC","337,603",153,,,Public,Recreational
2008,BOWFIN,,,,,Confidential,Commercial
2008,BOWFIN,"292,097",132,"332,198","461,386",Public,Commercial
2008,BOXFISHES **,,,,,Confidential,Commercial
2008,BOXFISHES **,"2,093",1,"1,738","2,413",Public,Commercial
2008,"BREAM, SEA","10,091",5,,,Public,Recreational
2008,"BROTULA, BEARDED",445,0,311,432,Public,Commercial
2008,BRYOZOA,,,,,Confidential,Commercial
2008,BUFFALOFISHES **,,,,,Confidential,Commercial
2008,BUFFALOFISHES **,"3,625,174","1,644","804,399","1,117,220",Public,Commercial
2008,BULLEYE,406,0,,,Public,Recreational
2008,"BULLHEAD, BROWN","60,646",28,"23,131","32,126",Public,Commercial
2008,"BULLHEAD, BROWN","54,066",25,,,Public,Recreational
2008,BULLHEADS **,"71,094",32,"23,025","31,979",Public,Commercial
2008,"BUMPER, ATLANTIC","54,957",25,"27,792","38,599",Public,Commercial
2008,"BUMPER, ATLANTIC","18,585",8,,,Public,Recreational
2008,BURBOT,"11,654",5,"4,723","6,559",Public,Commercial
2008,"BURRFISH, STRIPED",,,,,Confidential,Commercial
2008,"BURRFISH, STRIPED","7,860",4,"5,951","8,265",Public,Commercial
2008,"BURRFISH, STRIPED","2,478",1,,,Public,Recreational
2008,"BUTTERCLAM, WASHINGTON",,,,,Confidential,Commercial
2008,"BUTTERCLAM, WASHINGTON","20,227",9,"22,903","31,809",Public,Commercial
2008,BUTTERFISH,,,,,Confidential,Commercial
2008,BUTTERFISH,"989,698",449,"752,005","1,044,453",Public,Commercial
2008,BUTTERFISH,,,,,Public,Recreational
2008,"BUTTERFISH, GULF",,,,,Confidential,Commercial
2008,"BUTTERFISH, GULF","787,176",357,"261,182","362,753",Public,Commercial
2008,"BUTTERFLYFISH, BANDED",186,0,581,806,Public,Commercial
2008,"BUTTERFLYFISH, BANK",,,,,Confidential,Commercial
2008,"BUTTERFLYFISH, FOUREYE","1,421",1,"3,941","5,473",Public,Commercial
2008,"BUTTERFLYFISH, LONGSNOUT",,,,,Confidential,Commercial
2008,"BUTTERFLYFISH, LONGSNOUT",15,0,153,212,Public,Commercial
2008,"BUTTERFLYFISH, RACOON",,,,,Public,Recreational
2008,"BUTTERFLYFISH, REEF",718,0,"1,842","2,559",Public,Commercial
2008,"BUTTERFLYFISH, SPOTFIN",299,0,"1,035","1,437",Public,Commercial
2008,"BUTTERFLYFISHES, CHAETODONTIDAE (FAMILY) **",,,,,Confidential,Commercial
2008,"BUTTERFLYRAY, CALIFORNIA",71,0,,,Public,Recreational
2008,CABEZON,"106,750",48,"503,457","699,246",Public,Commercial
2008,CABEZON,"88,665",40,,,Public,Recreational
2008,CALAMUS,,,,,Public,Recreational
2008,"CARDINALFISH, TWOSPOT",130,0,343,477,Public,Commercial
2008,CARDINALFISHES **,,,,,Confidential,Commercial
2008,CARDINALFISHES **,20,0,9,12,Public,Commercial
2008,"CARP, BIGHEAD","275,408",125,"27,660","38,416",Public,Commercial
2008,"CARP, COMMON",,,,,Confidential,Commercial
2008,"CARP, COMMON","734,997",333,"156,074","216,769",Public,Commercial
2008,"CARP, COMMON","1,318",1,,,Public,Recreational
2008,"CARP, GRASS","76,862",35,"14,542","20,197",Public,Commercial
2008,"CARP, SILVER","6,060",3,47,65,Public,Commercial
2008,"CASSIOPEA, JAMAICAN",,,,,Confidential,Commercial
2008,"CASSIOPEA, JAMAICAN","3,468",2,"3,445","4,785",Public,Commercial
2008,"CATFISH, BLUE",,,,,Confidential,Commercial
2008,"CATFISH, BLUE","3,412,896","1,548","1,602,111","2,225,154",Public,Commercial
2008,"CATFISH, BLUE","1,326,089",602,,,Public,Recreational
2008,"CATFISH, CHANNEL",,,,,Confidential,Commercial
2008,"CATFISH, CHANNEL","1,250,311",567,"598,143","830,755",Public,Commercial
2008,"CATFISH, CHANNEL","1,360,285",617,,,Public,Recreational
2008,"CATFISH, FLATHEAD",,,,,Confidential,Commercial
2008,"CATFISH, FLATHEAD","347,564",158,"172,393","239,435",Public,Commercial
2008,"CATFISH, FLATHEAD",,,,,Public,Recreational
2008,"CATFISH, GAFFTOPSAIL","917,689",416,,,Public,Recreational
2008,"CATFISH, HARDHEAD","575,191",261,,,Public,Recreational
2008,"CATFISH, WHITE","106,756",48,,,Public,Recreational
2008,CATFISHES,,,,,Public,Recreational
2008,CATFISHES **,"1,730,645",785,"1,179,651","1,638,405",Public,Commercial
2008,"CATFISHES, BULLHEAD",,,,,Public,Recreational
2008,"CATFISHES, BULLHEAD **",,,,,Confidential,Commercial
2008,"CATFISHES, BULLHEAD **","3,005",1,"1,968","2,733",Public,Commercial
2008,"CATFISHES, FORKTAIL **","2,027,716",920,"812,484","1,128,450",Public,Commercial
2008,"CATFISHES, SEA",,,,,Public,Recreational
2008,"CATFISHES, SEA **",,,,,Confidential,Commercial
2008,"CATFISHES, SEA **","20,352",9,"9,671","13,433",Public,Commercial
2008,CERO,"3,056",1,"3,912","5,434",Public,Commercial
2008,CERO,"162,816",74,,,Public,Recreational
2008,CHERUBFISH,,,,,Confidential,Commercial
2008,CHERUBFISH,408,0,"1,644","2,283",Public,Commercial
2008,CHITONS **,,,,,Confidential,Commercial
2008,CHITONS **,464,0,"1,042","1,447",Public,Commercial
2008,"CHOICE, SAILORS","55,323",25,,,Public,Recreational
2008,"CHROMIS, BLUE","4,982",2,"10,196","14,161",Public,Commercial
2008,"CHROMIS, BROWN",,,,,Confidential,Commercial
2008,"CHROMIS, BROWN",302,0,371,515,Public,Commercial
2008,"CHUB, BERMUDA","16,414",7,,,Public,Recreational
2008,"CHUB, GRAY",,,,,Public,Recreational
2008,"CHUB, LOWFIN",,,,,Public,Recreational
2008,CHUBS **,"475,917",216,"742,931","1,031,848",Public,Commercial
2008,"CLAM, ARK, BLOOD",,,,,Confidential,Commercial
2008,"CLAM, ARK, BLOOD","198,753",90,"79,580","110,528",Public,Commercial
2008,"CLAM, BOX, JEWEL **","1,149",1,"2,944","4,088",Public,Commercial
2008,"CLAM, FILE, SPINY",,,,,Confidential,Commercial
2008,"CLAM, FILE, SPINY","2,217",1,"1,705","2,368",Public,Commercial
2008,"CLAM, GEODUCK","2,123,174",963,"41,600,133","57,777,962",Public,Commercial
2008,"CLAM, MANILA",,,,,Confidential,Commercial
2008,"CLAM, MANILA","1,054,887",478,"20,286,038","28,175,053",Public,Commercial
2008,"CLAM, PACIFIC GEODUCK","764,860",347,"2,823,651","3,921,737",Public,Commercial
